well_name,x,y,cluster,prob
25-021-21193-00-00,4.7145877,4.241374,-1,0.0
25-021-21195-00-00,-1.284996,5.0408864,1,1.0
25-021-21196-00-00,3.4992378,9.082417,0,1.0
25-021-21199-00-00,-0.648164,4.9466124,1,0.9573603334914313
25-021-21200-00-00,3.0636313,6.1451764,4,0.9071128297096104
25-021-21205-00-00,4.532656,6.3442707,4,1.0
25-025-05008-00-00,0.55382335,3.2294676,1,0.9946447623301313
25-025-05034-00-00,2.0119934,3.3671472,1,1.0
25-025-05051-00-00,0.51305854,4.7945123,1,0.7711565218256778
25-025-05068-00-00,-1.3104447,2.7416508,1,1.0
25-025-05158-00-00,-0.2923327,2.808799,1,1.0
25-025-05164-00-00,-1.3336841,4.7249136,1,1.0
25-025-05226-00-00,4.704662,4.323775,-1,0.0
25-025-05245-00-00,1.7159815,3.1927981,1,1.0
25-025-05253-00-00,1.8038416,3.4823506,1,1.0
25-025-05307-00-00,5.3321986,2.3750956,6,0.9572216816644467
25-025-05313-00-00,-0.81667876,5.5214825,1,0.522479761394583
25-025-05315-00-00,-0.4702965,2.5868356,1,0.714076672336475
25-025-05322-00-00,1.9203696,3.166936,1,1.0
25-025-05352-00-00,-0.99652314,3.4851453,1,1.0
25-025-05387-00-00,4.177315,5.269697,-1,0.0
25-025-05388-00-00,0.09711094,3.6996388,1,1.0
25-025-05390-00-00,0.8826434,3.2238925,1,1.0
25-025-05401-00-00,2.082025,3.2227635,1,1.0
25-025-05403-00-00,4.876367,3.4734573,-1,0.0
25-025-05409-00-00,2.1051998,3.8729017,1,1.0
25-025-05415-00-00,1.7502596,3.4091854,1,1.0
25-025-05431-00-00,-1.306377,4.4963317,1,1.0
25-025-05466-00-00,-0.45568967,3.1878757,1,0.9893833054990812
25-025-05468-00-00,-0.8156466,2.479544,1,1.0
25-025-05517-00-00,2.1563344,3.8409498,1,0.9602739934082541
25-025-05591-00-00,1.2873545,3.5547986,1,0.8981438975984505
25-025-05603-00-00,7.753893,6.5275254,3,1.0
25-025-05613-00-00,-1.2571439,4.5743265,1,1.0
25-025-05669-00-00,-0.915709,2.5468116,1,1.0
25-025-05694-00-00,4.869516,9.507584,0,1.0
25-025-05695-00-00,0.74708414,5.5239234,1,1.0
25-025-05697-00-00,-0.34617013,2.9063644,1,1.0
25-025-05698-00-00,-1.5919981,2.7073078,1,1.0
25-025-05704-00-00,5.237908,2.3434641,6,1.0
25-025-05726-00-00,5.010976,2.194518,-1,0.0
25-025-21003-00-00,7.8263273,9.020034,0,1.0
25-025-21004-00-00,1.6130034,3.8048515,1,1.0
25-025-21008-00-00,1.9165775,3.3200471,1,1.0
25-025-21009-00-00,2.1451387,3.4510946,1,1.0
25-025-21021-00-00,8.091003,8.786478,0,1.0
25-025-21037-00-00,1.6492066,3.3392358,1,1.0
25-025-21039-00-00,-1.3322566,4.28191,1,1.0
25-025-21044-00-00,1.8405257,3.2833135,1,1.0
25-025-21054-00-00,-0.82172936,4.22008,1,0.9391097873496564
25-025-21068-00-00,0.39574203,2.9196506,1,0.728722727004313
25-025-21070-00-00,3.1186829,8.88504,0,1.0
25-025-21073-00-00,-1.4153299,3.383283,1,1.0
25-025-21077-00-00,0.91661775,2.8456075,-1,0.0
25-025-21092-00-00,-0.53549564,5.5212426,1,0.6168529325006848
25-025-21104-00-00,1.3335959,3.2364838,1,1.0
25-025-21153-00-00,0.34566113,3.7166574,1,1.0
25-025-21162-00-00,-0.3055839,2.9602711,1,1.0
25-025-21169-00-00,-0.43810916,2.9753132,1,1.0
25-025-21171-00-00,1.9973805,3.2403831,1,1.0
25-025-21172-00-00,5.4763265,3.4252071,7,1.0
25-025-21202-00-00,4.514873,9.423078,0,1.0
25-025-21203-00-00,4.2390175,4.1465487,-1,0.0
25-025-21216-00-00,4.585055,9.400106,0,1.0
